"age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"25-34",98000,"8 - 10 years","College degree","Woman","Computing or Tech","business intelligence developer"
"45-54",52000,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Buyer"
"35-44",128000,"11 - 20 years","College degree","Woman","Health care","AVP of Marketing"
"45-54",130000,"11 - 20 years","PhD","Man","Education (Higher Education)","Assistant Professor"
"45-54",90000,"21 - 30 years","College degree","Woman","Nonprofits","Editorial Director"
"35-44",85000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Staff attorney for state government"
"55-64",80000,"21 - 30 years","Master's degree","Woman","Nonprofits","Dir IT"
"25-34",50000,"5-7 years","College degree","Woman","Law","Paralegal"
"35-44",56160,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Customer Service Representative"
"25-34",45760,"2 - 4 years","College degree","Woman","Property or Construction","Jr. Project Manager"
"35-44",41600,"11 - 20 years","College degree","Woman","Government and Public Administration","Unemployment Claims Adjudicator Support"
"25-34",57000,"11 - 20 years","College degree","Woman","Philanthropy","Programs Associate"
"25-34",95000,"2 - 4 years","College degree","Woman","Business or Consulting","Consultant"
"55-64",110000,"31 - 40 years","Master's degree","Woman","Education (Higher Education)","dean"
"25-34",26000,"5-7 years","Master's degree","Woman","Education (Higher Education)","Teaching Fellow"
"35-44",93000,"8 - 10 years","College degree","Woman","Engineering or Manufacturing","E-commerce Merchandising Specialist"
"25-34",71000,"8 - 10 years","College degree","Woman","Engineering or Manufacturing","Executive Assistant"
"25-34",75000,"2 - 4 years","Master's degree","Woman","Education (Higher Education)","Instructor of Marketing"
"25-34",70000,"8 - 10 years","College degree","Woman","Recruitment or HR","Senior Compensation Analyst"
"45-54",64000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Systems librarian"
"35-44",72000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Director"
"35-44",45000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Mortgage Loan Processor"
"25-34",89025,"5-7 years","College degree","Woman","Insurance","Actuarial Analyst"
"25-34",52000,"5-7 years","College degree","Woman","Nonprofits","Program Manager"
"35-44",42000,"8 - 10 years","Master's degree","Woman","Insurance","Customer Service Representative"
"35-44",1e+05,"11 - 20 years","College degree","Woman","Media & Digital","Social media manager"
"35-44",144500,"11 - 20 years","Master's degree","Woman","Nonprofits","Deputy Executive Director"
"35-44",82800,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Clinical Research Associate"
"35-44",125000,"8 - 10 years","Master's degree","Woman","Apparel","Development Manager"
"45-54",179667,"21 - 30 years","Master's degree","Man","Computing or Tech","Technical Writer"
"25-34",54000,"5-7 years","College degree","Woman","Education (Higher Education)","Project Manager"
"35-44",75000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Associate Director"
"45-54",64000,"21 - 30 years","College degree","Woman","Education (Primary/Secondary)","Confidential Assistant to the Superintendent"
"25-34",145000,"8 - 10 years","College degree","Woman","Art & Design","Senior Product Designer"
"25-34",92000,"11 - 20 years","College degree","Woman","Biotech","Sr Research Associate"
"25-34",45000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Field Support Specialist"
"35-44",70000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Copywriter"
"45-54",39000,"21 - 30 years","College degree","Woman","Computing or Tech","Customer Support/Office Manager"
"35-44",275000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","General Counsel"
"25-34",68800,"8 - 10 years","College degree","Woman","Media & Digital","Production Manager"
"25-34",77000,"5-7 years","College degree","Man","Education (Higher Education)","Business Intelligence Analyst"
"25-34",48963,"11 - 20 years","College degree","Woman","Public Libraries","Library Associate"
"55-64",45000,"21 - 30 years","College degree","Woman","Nonprofits","Gift Analyst"
"55-64",150000,"31 - 40 years","College degree","Woman","Health care","Senior Clinical Laboratory Scientist"
"25-34",71000,"8 - 10 years","College degree","Woman","Engineering or Manufacturing","Manufacturing Engineer"
"35-44",734400,"11 - 20 years","College degree","Woman","Nonprofits","Assistant Director"
"18-24",49000,"2 - 4 years","High School","Woman","Mortgage","Mortgage Processor"
"35-44",45260,"11 - 20 years","Master's degree","Woman","Government and Public Administration","HR SPECIALIST"
"45-54",190000,"21 - 30 years","College degree","Woman","Software/programming","Systems architect"
"25-34",132000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Associate Attorney"
"55-64",98000,"31 - 40 years","College degree","Woman","Computing or Tech","Lead Project Analyst/Engineer"
"55-64",18000,"2 - 4 years","College degree","Woman","Retail","Sales Associate"
"25-34",27000,"2 - 4 years","College degree","Woman","Nonprofits","Program Director"
"45-54",82000,"31 - 40 years","College degree","Woman","Marketing, Advertising & PR","Administrative Services Manager"
"18-24",42000,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Marketing Manager"
"25-34",132000,"11 - 20 years","College degree","Woman","Biopharma","HR Manager"
"35-44",71660,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Qualitative Research Analyst"
"25-34",35000,"2 - 4 years","College degree","Woman","Computing or Tech","Tech Support"
"25-34",6400,"8 - 10 years","Master's degree","Man","Entertainment","Chief of Staff"
"25-34",52000,"2 - 4 years","Master's degree","Woman","Education (Higher Education)","Librarian"
"25-34",96000,"8 - 10 years","College degree","Woman","Nonprofits","Director of Technology"
"25-34",50000,"5-7 years","College degree","Woman","Nonprofits","Donor Services Specialist"
"45-54",50000,"21 - 30 years","College degree","Man","Government and Public Administration","Environmental Planner/NEPA Specialist"
"25-34",150000,"8 - 10 years","Master's degree","Woman","Energy - Oil and Gas","Geologist"
"35-44",66000,"5-7 years","PhD","Woman","Education (Higher Education)","assistant director"
"25-34",41000,"5-7 years","Master's degree","Woman","Nonprofits","Member Programs Assistant"
"55-64",95663,"31 - 40 years","College degree","Woman","Property or Construction","Senior Property Manager"
"25-34",38000,"8 - 10 years","College degree","Woman","Law","Training coordinator"
"18-24",60000,"1 year or less","College degree","Woman","Computing or Tech","Software Engineer in Test"
"25-34",47000,"5-7 years","Master's degree","Woman","Nonprofits","Membership & Training Coordinator"
"25-34",45760,"8 - 10 years","College degree","Man","Retail","Department Supervisor"
"45-54",154000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","Vice Dean of a University Library"
"25-34",38000,"8 - 10 years","College degree","Woman","Health care","Surgery Coordinator"
"25-34",133510,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","Senior Account Manager"
"65 or over",133314,"41 years or more","PhD","Woman","Education (Higher Education)","Professor"
"45-54",82000,"21 - 30 years","PhD","Man","Education (Higher Education)","Associate Professor"
"45-54",99000,"21 - 30 years","Master's degree","Woman","Government and Public Administration","city planner"
"35-44",43850,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Academic Coordinator"
"25-34",70000,"2 - 4 years","College degree","Woman","Business or Consulting","Actuarial Analyst"
"25-34",52000,"5-7 years","PhD","Woman","Engineering or Manufacturing","Quality Control Scientist, SR"
"25-34",52500,"8 - 10 years","College degree","Woman","Media & Digital","Content and Brand Strategist"
"25-34",41318,"2 - 4 years","College degree","Woman","Scientific Research","Research Assistant II"
"45-54",76500,"21 - 30 years","College degree","Woman","Sales","Sales Manager"
"35-44",56000,"11 - 20 years","Master's degree","Woman","Libraries","Marketing & Communications Specialist"
"25-34",115000,"8 - 10 years","Master's degree","Woman","Marketing, Advertising & PR","Director of Marketing"
"35-44",52000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Business specialist"
"25-34",88000,"8 - 10 years","College degree","Woman","Media & Digital","Manager"
"35-44",142000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","senior program specialist"
"25-34",98000,"5-7 years","College degree","Woman","Engineering or Manufacturing","Supervisor, Manufacturing Engineering"
"25-34",40000,"8 - 10 years","College degree","Woman","Health care","Patient Access Associate 3"
"45-54",90000,"21 - 30 years","College degree","Woman","Education (Higher Education)","Web Developer"
"35-44",90000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Press officer"
"45-54",114300,"21 - 30 years","College degree","Man","Computing or Tech","Senior Software Engineer"
"25-34",80000,"11 - 20 years","College degree","Woman","Airline","Training Program Lead"
"25-34",125000,"8 - 10 years","Master's degree","Woman","Computing or Tech","Director of product"
"35-44",90000,"11 - 20 years","College degree","Woman","Nonprofits","Senior Strategic Initiatives Manager"
"45-54",153000,"21 - 30 years","Master's degree","Woman","Nonprofits","Senior Director of Programs"
"35-44",96000,"11 - 20 years","College degree","Woman","Architect","Architect"
"25-34",35360,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Administrative Assistant"
"35-44",41000,"11 - 20 years","College degree","Woman","Nonprofits","Rebate Coordinator"
"25-34",140000,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Group Copy Supervisor"
"18-24",66000,"2 - 4 years","College degree","Woman","Engineering or Manufacturing","Quality Engineer"
"25-34",54000,"2 - 4 years","Master's degree","Woman","Social Work","Medical social worker"
"25-34",62480,"8 - 10 years","College degree","Woman","Business or Consulting","Supervisor"
"25-34",61131,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Library Branch Manager"
"25-34",78000,"8 - 10 years","College degree","Woman","Manufacturing","HR Manager"
"25-34",37500,"2 - 4 years","College degree","Woman","Nonprofits","Outreach Coordinator"
"25-34",89000,"8 - 10 years","College degree","Woman","Nonprofits","Grant Writer"
"55-64",90000,"41 years or more","College degree","Woman","Research & Development (Defense Industry)","Graphic Design"
"65 or over",13000,"41 years or more","College degree","Woman","Hospitality & Events","Restaurant manager"
"25-34",120000,"5-7 years","College degree","Woman","Business or Consulting","Senior Consultant"
"35-44",50000,"8 - 10 years","College degree","Man","Retail","Campaign Manager"
"35-44",40700,"11 - 20 years","Master's degree","Woman","Nonprofits","Development Manager"
"45-54",120000,"11 - 20 years","Master's degree","Woman","Property or Construction","Senior Project Manager"
"35-44",93000,"21 - 30 years","Master's degree","Woman","Computing or Tech","Business Analyst (Operations)"
"25-34",55000,"2 - 4 years","College degree","Woman","Engineering or Manufacturing","EIT/Graduate Engineer"
"35-44",61000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Librarian"
"25-34",1e+05,"8 - 10 years","Master's degree","Man","Recruitment or HR","Senior HR & Total Rewards Manager"
"35-44",160000,"11 - 20 years","Master's degree","Woman","Insurance","Director, Actuarial"
"35-44",110000,"5-7 years","Master's degree","Woman","Computing or Tech","Senior Data Quality Specialist"
"35-44",39000,"11 - 20 years","College degree","Woman","Sales","Purchasing Expeditor"
"45-54",74000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","Associate Department Chair"
"35-44",22750,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Adjunct instructor"
"35-44",53000,"11 - 20 years","College degree","Woman","Law","Legal Assistant"
"35-44",380000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Health care","Associate Chairperson"
"35-44",94000,"11 - 20 years","College degree","Man","Entertainment","Sr Analyst - Workforce Technology"
"25-34",133000,"5-7 years","Master's degree","Man","Computing or Tech","Software Engineer"
"25-34",70000,"2 - 4 years","College degree","Woman","Marketing, Advertising & PR","Senior Account Executive"
"25-34",48000,"5-7 years","College degree","Man","Accounting, Banking & Finance","Business Control Specialist"
"35-44",39520,"8 - 10 years","College degree","Woman","Agriculture or Forestry","accounting support"
"35-44",60000,"8 - 10 years","Master's degree","Woman","Marketing, Advertising & PR","Associate Data Analyst"
"35-44",58240,"11 - 20 years","College degree","Woman","Art & Design","Production Artist"
"25-34",36000,"11 - 20 years","College degree","Woman","Nonprofits","Visitor Experience Coordinator"
"25-34",41000,"8 - 10 years","College degree","Man","Government and Public Administration","Librarian"
"45-54",105000,"31 - 40 years","College degree","Woman","Accounting, Banking & Finance","Controller"
"25-34",133500,"5-7 years","Professional degree (MD, JD, etc.)","Man","Law","Attorney"
"45-54",37000,"31 - 40 years","College degree","Woman","Education (Higher Education)","Secretary Sr."
"55-64",136000,"31 - 40 years","Master's degree","Woman","Engineering or Manufacturing","Branch Chief"
"25-34",125000,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Supply Chain Supervisor"
"55-64",1e+05,"31 - 40 years","College degree","Woman","Marketing, Advertising & PR","VP Marketing"
"35-44",112000,"11 - 20 years","College degree","Woman","Retail","Merchandise Planning Manager"
"45-54",56000,"21 - 30 years","College degree","Woman","Nonprofits","Director of Finance & Payroll"
"35-44",86000,"11 - 20 years","College degree","Man","Computing or Tech","Data Conversion Analyst IV"
"25-34",75920,"2 - 4 years","College degree","Woman","Engineering or Manufacturing","Product Design Engineer"
"35-44",52500,"11 - 20 years","Master's degree","Woman","Agriculture or Forestry","Senior Quality Supervisor"
"35-44",90000,"8 - 10 years","College degree","Man","Computing or Tech","Specialist Software engineer"
"35-44",50000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Analyst"
"25-34",47362,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Administrative Assistant II"
"25-34",55000,"5-7 years","Master's degree","Woman","Libraries","Emerging technologies librarian"
"18-24",67000,"2 - 4 years","Master's degree","Man","Accounting, Banking & Finance","Audit Senior Associate"
"25-34",55000,"5-7 years","College degree","Woman","Biotechnology","Advanced Research Associate"
"25-34",75000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Business Intelligence Specialist"
"25-34",81000,"8 - 10 years","College degree","Woman","Computing or Tech","Senior Quality Assurance Analyst"
"35-44",50450,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Reference/Instruction Librarian"
"45-54",72000,"31 - 40 years","Master's degree","Woman","Education (Higher Education)","Instructional Designer"
"25-34",72000,"5-7 years","Master's degree","Woman","Health care","Data Analyst 2"
"25-34",42000,"5-7 years","College degree","Woman","Government and Public Administration","Transportation Construction Inspector III"
"25-34",73647,"11 - 20 years","Master's degree","Woman","Nonprofits","Membership & Conference Director"
"25-34",106137,"8 - 10 years","College degree","Woman","Government and Public Administration","Senior Business Analyst"
"45-54",60000,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Teacher of the Visually impaired"
"35-44",78000,"11 - 20 years","Master's degree","Woman","Nonprofits","Program Director"
"55-64",49500,"31 - 40 years","College degree","Woman","Religious (church)","Congregational Administrator"
"45-54",164000,"21 - 30 years","College degree","Woman","Business or Consulting","Environmental Planner"
"45-54",80000,"21 - 30 years","College degree","Woman","Nonprofits","Director of Business Operations"
"35-44",90000,"11 - 20 years","College degree","Woman","Insurance","Director of Operations"
"25-34",43000,"2 - 4 years","College degree","Woman","Nonprofits","Administrative Associate"
"25-34",62500,"2 - 4 years","College degree","Woman","Education (Primary/Secondary)","Teacher"
"55-64",32280,"31 - 40 years","College degree","Man","Direct support  professional  in a group  home","Direct support  staff awake  driving"
"55-64",94500,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Health care","Veterinarian"
"35-44",38500,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Director of Institutional Effectiveness"
"45-54",135000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Vice President"
"45-54",50000,"8 - 10 years","College degree","Woman","Entertainment","Freelance book editor"
"25-34",72000,"5-7 years","Master's degree","Woman","Commercial Real Estate - Private Equity","Administrative Assistant"
"35-44",101000,"11 - 20 years","Master's degree","Woman","Health care","Senior Corporate Librarian"
"35-44",119000,"11 - 20 years","College degree","Woman","Business or Consulting","Business Development Operations Director"
"45-54",102000,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Project Engineer"
"35-44",69000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Production Manager"
"35-44",50800,"11 - 20 years","College degree","Woman","Education (Higher Education)","Grants Specialist"
"25-34",34614,"5-7 years","High School","Woman","Insurance","Client Service Coordinator"
"35-44",125000,"21 - 30 years","Master's degree","Woman","Computing or Tech","Business Systems Manager"
"35-44",52000,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","High School English Teacher"
"35-44",132000,"21 - 30 years","Master's degree","Woman","Computing or Tech","Senior Software Engineer"
"35-44",120000,"11 - 20 years","PhD","Woman","Psychology","Licensed Clinical Psychologist"
"35-44",121000,"11 - 20 years","College degree","Woman","Business or Consulting","Consultant"
"25-34",125000,"11 - 20 years","College degree","Woman","Business or Consulting","Supervisor"
"35-44",89000,"11 - 20 years","College degree","Woman","Art & Design","Graphic artist"
"35-44",175000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Accounting, Banking & Finance","Senior Legal Counsel"
"45-54",95000,"31 - 40 years","College degree","Woman","Insurance","Insurance Agent"
"25-34",110000,"8 - 10 years","College degree","Woman","Art & Design","Stagehand"
"55-64",115000,"21 - 30 years","College degree","Woman","Computing or Tech","Technical Editor"
"25-34",45750,"2 - 4 years","College degree","Woman","Libraries","Associate"
"35-44",225000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Associate General Counsel"
"55-64",60000,"31 - 40 years","High School","Woman","Utilities & Telecommunications","Plant Admin/Acct ClerkI"
"35-44",35370,"2 - 4 years","High School","Woman","Engineering or Manufacturing","Office Manager"
"35-44",80636,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Education (Higher Education)","Manager, Advising & Retention"
"25-34",86881,"8 - 10 years","College degree","Woman","Government and Public Administration","Nutrition Supervisor"
"35-44",78000,"11 - 20 years","College degree","Woman","Transport or Logistics","Senior Applications Administrator"
"25-34",74000,"8 - 10 years","College degree","Man","Recruitment or HR","Senior Officer, Glohal HR"
"35-44",75000,"8 - 10 years","Master's degree","Woman","Recruitment or HR","HR Manager"
"25-34",72800,"5-7 years","Master's degree","Woman","Nonprofits","Project Manager"
"35-44",101000,"11 - 20 years","College degree","Woman","Computing or Tech","Team Lead"
"35-44",55000,"21 - 30 years","College degree","Woman","Health care","Certified Pharmacy Technician"
"25-34",180000,"8 - 10 years","College degree","Woman","Computing or Tech","Director of Customer Success"
"45-54",109000,"21 - 30 years","High School","Man","Insurance","Platform engineer"
"35-44",129000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Finance","Structured Finance Manager"
"35-44",25000,"2 - 4 years","College degree","Woman","Education (Primary/Secondary)","Testing Specialist"
"35-44",70000,"8 - 10 years","Master's degree","Woman","Computing or Tech","Communications Project Manager"
"45-54",85000,"11 - 20 years","College degree","Woman","Cannabis","Director of Accounting"
"35-44",103842,"21 - 30 years","College degree","Woman","Computing or Tech","Senior Project Manager"
"35-44",52000,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Editor"
"45-54",59000,"21 - 30 years","College degree","Woman","Nonprofits","Office Manager"
"45-54",125000,"31 - 40 years","Master's degree","Woman","Accounting, Banking & Finance","Accounting Manager"
"25-34",72750,"1 year or less","PhD","Woman","Government and Public Administration","Physicist"
"35-44",134000,"11 - 20 years","PhD","Woman","Government and Public Administration","Supervisory Program Analyst"
"25-34",80000,"11 - 20 years","College degree","Woman","Computing or Tech","Product Project Manager"
"25-34",45000,"11 - 20 years","Master's degree","Woman","Entertainment","Marketing Manager"
"35-44",77586,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Appellate attorney"
"65 or over",104000,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Department Manager"
"65 or over",74880,"41 years or more","College degree","Woman","Law","Recruiter"
"25-34",84000,"5-7 years","Master's degree","Woman","Biotechnology/Life Sciences","Scientist"
"25-34",92000,"5-7 years","Master's degree","Woman","Government and Public Administration","Economist"
"25-34",58500,"8 - 10 years","Master's degree","Woman","Nonprofits","Assistant Director of Education"
"25-34",140000,"8 - 10 years","PhD","Woman","Computing or Tech","Director of Bioinformatics"
"25-34",84000,"8 - 10 years","College degree","Woman","Education (Higher Education)","Business Analyst"
"35-44",70000,"11 - 20 years","Master's degree","Woman","Nonprofits","Executive Director"
"35-44",60200,"11 - 20 years","Master's degree","Woman","Health care","Therapist"
"25-34",40000,"5-7 years","College degree","Man","Library/Archive","Administrative Assistant"
"25-34",60000,"8 - 10 years","Master's degree","Woman","Health care","Communication Specialist"
"35-44",41600,"8 - 10 years","Master's degree","Woman","Nonprofits","Training/Prevention Specialist"
"35-44",98600,"11 - 20 years","College degree","Woman","Nonprofits","Director"
"35-44",62000,"11 - 20 years","Master's degree","Man","Libraries","Head of Public Services"
"25-34",110000,"8 - 10 years","Master's degree","Woman","Accounting, Banking & Finance","Director of Accounting and Finance"
"55-64",92500,"21 - 30 years","Master's degree","Woman","Computing or Tech","Software Developer"
"35-44",75000,"11 - 20 years","College degree","Woman","Art & Design","Billing Manager"
"35-44",77000,"11 - 20 years","Master's degree","Woman","Nonprofits","Research Associate"
"25-34",60000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Curator"
"25-34",33300,"5-7 years","Master's degree","Woman","Nonprofits","Quality Improvement Specialist"
"35-44",41600,"8 - 10 years","Master's degree","Woman","Media & Digital","Fellow"
"25-34",91000,"5-7 years","Master's degree","Woman","Computing or Tech","Senior UX Designer"
"35-44",53000,"21 - 30 years","College degree","Woman","Government and Public Administration","Program Services Coordinator"
"35-44",105500,"11 - 20 years","Master's degree","Woman","Organized Labor","Analyst"
"25-34",39500,"11 - 20 years","College degree","Woman","Education (Higher Education)","Research assistant"
"25-34",138000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Education (Higher Education)","professor"
"25-34",82500,"5-7 years","Master's degree","Woman","Business or Consulting","Data Manager"
"45-54",54000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Librarian"
"35-44",137000,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Director of Internal Communications"
"25-34",62000,"5-7 years","College degree","Woman","Nonprofits","Digital Campaigns Manager"
"35-44",54080,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Graduate Engineer"
"25-34",51000,"8 - 10 years","College degree","Woman","Nonprofits","Development Database Manager"
"45-54",175000,"21 - 30 years","College degree","Woman","Marketing, Advertising & PR","Managing Director"
"35-44",58000,"11 - 20 years","Master's degree","Woman","Nonprofits","Librarian"
"25-34",60000,"2 - 4 years","College degree","Woman","Entertainment","Coordinator"
"35-44",62000,"11 - 20 years","Master's degree","Woman","Nonprofits","Grant Writer"
"25-34",65000,"5-7 years","College degree","Woman","Education (Higher Education)","Associate Director"
"55-64",81000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Analyst"
"45-54",61000,"11 - 20 years","Master's degree","Woman","Libraries","Teen Librarian 1"
"25-34",80000,"5-7 years","College degree","Man","Accounting, Banking & Finance","Business analyst"
"25-34",105000,"8 - 10 years","College degree","Man","Engineering or Manufacturing","Project Manager"
"25-34",87500,"8 - 10 years","College degree","Woman","Computing or Tech","Senior Communications Manager"
"25-34",47000,"2 - 4 years","Master's degree","Woman","e-learning","Project Manager and Writer"
"25-34",106000,"8 - 10 years","College degree","Woman","Computing or Tech","Data Scientist"
"35-44",47008,"11 - 20 years","College degree","Woman","Real Estate/ Mortgage","Refinance Escrow Closer"
"25-34",65000,"5-7 years","College degree","Woman","Education (Higher Education)","Data Analyst"
"25-34",49000,"8 - 10 years","Master's degree","Woman","Art & Design","Curator"
"25-34",123000,"8 - 10 years","Master's degree","Woman","Marketing, Advertising & PR","Manager"
"35-44",83000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Communications Manager"
"35-44",215000,"21 - 30 years","Master's degree","Man","Computing or Tech","Principal Front End Engineer"
"35-44",82000,"5-7 years","PhD","Woman","Science research","Research scientist"
"25-34",82000,"8 - 10 years","College degree","Woman","Fundraising","Associate Director, Annual Fund"
"25-34",63524,"5-7 years","Master's degree","Woman","Computing or Tech","Collaboration Engineer I"
"45-54",67000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","Sr. Operations Manager"
"35-44",75000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Librarian"
"35-44",30000,"5-7 years","Master's degree","Woman","Health care","Receptionist"
"35-44",82000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Senior Content Manager"
"65 or over",1e+05,"31 - 40 years","Master's degree","Woman","Education (Higher Education)","Associate Director"
"35-44",63000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Senior Librarian"
"35-44",54000,"11 - 20 years","Master's degree","Woman","Health care","Veterinary Social Worker"
"25-34",83350,"8 - 10 years","College degree","Woman","International development","Program manager"
"25-34",77000,"5-7 years","College degree","Woman","Business or Consulting","Senior Consultant"
"45-54",90000,"21 - 30 years","College degree","Woman","Computing or Tech","Data Migration Consultant"
"45-54",75000,"21 - 30 years","College degree","Woman","Computing or Tech","Senior Executive Assistant"
"35-44",48000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Business Analyst - Enrollment Services"
"35-44",103000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Lawyer"
"25-34",130000,"11 - 20 years","College degree","Woman","Law","Attorney Recruiting Manager"
"45-54",45000,"11 - 20 years","College degree","Woman","Recruitment or HR","Branch Manager"
"35-44",78786,"21 - 30 years","College degree","Woman","Insurance","Pharmacy Programs Analyst"
"35-44",40000,"2 - 4 years","College degree","Woman","Nonprofits","Membership Director"
"45-54",250000,"21 - 30 years","Professional degree (MD, JD, etc.)","Woman","Computing or Tech","Senior Counsel"
"25-34",350000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Partner"
"25-34",1e+05,"5-7 years","College degree","Woman","Engineering or Manufacturing","Director of Manufacturing"
"25-34",130000,"11 - 20 years","College degree","Man","Transport or Logistics","Senior Membership Experience Manager"
"25-34",110000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Law","Patent Attorney"
"35-44",82000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Finance & Accounting Manager"
"35-44",19000,"21 - 30 years","College degree","Woman","Education (Primary/Secondary)","Teacher Assistant"
"25-34",140000,"11 - 20 years","High School","Woman","Accounting, Banking & Finance","UX director"
"35-44",45000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Accountant"
"25-34",50000,"2 - 4 years","Master's degree","Woman","Education (Higher Education)","Librarian"
"35-44",103000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Attorney"
"35-44",63750,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Environmental Scientist"
"25-34",51226,"5-7 years","Master's degree","Woman","Government and Public Administration","Planner"
"35-44",130000,"8 - 10 years","Master's degree","Woman","Computing or Tech","Software engineering manager"
"35-44",235000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Associate General Counsel"
"45-54",175000,"21 - 30 years","College degree","Woman","Computing or Tech","Project Manager"
"45-54",250000,"21 - 30 years","Professional degree (MD, JD, etc.)","Woman","Law","Professional Support Lawyer"
"25-34",67000,"5-7 years","College degree","Woman","Accounting, Banking & Finance","Business Analyst"
"35-44",95000,"11 - 20 years","College degree","Woman","Distribution","Digital Project Manager"
"35-44",50000,"11 - 20 years","College degree","Woman","Property or Construction","Office/Marketing Manager"
"35-44",43000,"21 - 30 years","College degree","Woman","manufacturing","Assistant Buyer"
"25-34",145000,"11 - 20 years","College degree","Woman","Computing or Tech","Principal Software Engineer"
"35-44",110000,"11 - 20 years","College degree","Woman","Media & Digital","Freelance writer (medicine and law)"
"18-24",41600,"1 year or less","College degree","Woman","Nonprofits","College and Career Counselor"
"35-44",57000,"21 - 30 years","College degree","Woman","Law","Executive Assistant"
"35-44",77000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Nonprofits","Program Manager"
"25-34",90000,"2 - 4 years","College degree","Man","Computing or Tech","Data Scientist"
"45-54",63300,"21 - 30 years","College degree","Woman","Government and Public Administration","Supervisor"
"25-34",168000,"8 - 10 years","College degree","Woman","Computing or Tech","Software Engineer II"
"25-34",60000,"5-7 years","Master's degree","Woman","Nonprofits","Specialist"
"35-44",123500,"11 - 20 years","Master's degree","Man","Computing or Tech","Director of customer experience"
